lat,lon,rssi_dbm,device_count,cluster
37.76447809033408,-122.4377649198499,-43.93221284116542,4,19
37.76722789726643,-122.43245588203533,-43.56943631553513,5,16
37.74758318534434,-122.4155392692826,-86.35373598891547,3,-1
37.774106970095865,-122.41801594528263,-38.28152712346966,3,5
37.76993826701482,-122.40801585511184,-76.32487666937718,2,-1
37.77252436900235,-122.4134586142844,-35.823356491723715,4,2
37.76470731529269,-122.4361427484429,-53.273615722114734,4,19
37.78718108951004,-122.40370816434842,-46.030160880246996,3,10
37.78762183706167,-122.4050366337189,-39.69463120805112,3,10
37.76758389339314,-122.43346364087108,-45.26330988935942,5,16
37.77670486666959,-122.41915378373905,-40.85595537690204,6,3
37.77809986881003,-122.41785181043916,-38.10961007034783,5,4
37.78772098904902,-122.40934764251247,-47.16987226682478,1,11
37.771970305550624,-122.41623672048611,-46.643843734063964,1,6
37.76123911388975,-122.43274740688135,-53.254175017591685,7,20
37.7852739206829,-122.40684486537202,-40.74650060171628,2,8
37.78629072371991,-122.42906551980047,-67.14988191638757,0,-1
37.77356939258148,-122.41748055499656,-41.68074726838343,2,1
37.78588121573906,-122.40421217605353,-40.79219837668694,7,7
37.77800470441453,-122.41046368424433,-72.53007765970129,2,-1
37.745596286806695,-122.44438294769698,-71.38889968312907,3,-1
37.79026250558079,-122.40490189318145,-47.07361159766209,3,10
37.77326140087298,-122.44160133500903,-91.8542264439747,0,-1
37.78689854595182,-122.4044722111391,-44.87801798098561,3,10
37.77962931713335,-122.42133881056225,-42.06915380040149,2,1
37.76408053853725,-122.43777778310834,-39.865935338613895,5,-1
37.78852053111673,-122.40543546196898,-49.8041206643077,2,8
37.77511641743689,-122.41975123650677,-39.88672649547816,7,0
37.7516668586659,-122.43013192343457,-73.07237852866685,3,-1
37.78577992378981,-122.40624169043856,-50.79976071806501,3,10
37.79595267536114,-122.4387312325383,-90.52134193942553,1,-1
37.77917697948827,-122.43891523466365,-78.09215350908855,1,-1
37.79545722424768,-122.43938177590255,-85.42013657507037,1,-1
37.75981890805376,-122.43824585516167,-46.595723143917546,6,15
37.77771248005714,-122.41880244094378,-39.57427908923241,5,4
37.77727113128036,-122.41810047621891,-41.7589242330967,1,6
37.78488798653445,-122.40762751562737,-49.38449209895227,7,7
37.79025185004456,-122.42047957404071,-77.9565292434236,2,-1
37.77712632462246,-122.4198226509244,-86.24764153492755,0,-1
37.77631310721727,-122.42039575578518,-37.19876048236404,4,2
37.787393936718,-122.4052939975644,-49.481690639646466,7,7
37.788633484117604,-122.40303903000095,-41.725477352880404,7,7
37.77147391968927,-122.41842689430344,-37.215174540746325,6,3
37.77571422514302,-122.41919878529089,-44.51620708486892,1,6
37.76646249301334,-122.4320817856854,-50.07397035357219,6,15
37.7932584252626,-122.40662992796913,-38.75237430093558,5,-1
37.76588722784536,-122.4307268817424,-47.361115201374425,6,15
37.7870861809095,-122.39660986311758,-77.30730638862177,1,-1
37.76795977219983,-122.43431020598351,-50.14751824537516,4,19
37.78689474401018,-122.40738719382064,-45.941662487652884,6,13
