lat,lon,rssi_dbm,device_count
37.77599342830602,-122.41965799002185,-36.972045533418594,7
37.77472347139766,-122.4191203620804,-43.6886612967105,2
37.7762953770762,-122.41650541278976,-36.521576319577356,4
37.778046059712814,-122.41677925946914,-34.5774485647802,2
37.77453169325055,-122.41804180318793,-38.3462603871052,6
37.7745317260861,-122.41776534523339,-32.492816749767734,5
37.77815842563101,-122.41544467020843,-43.095156796414294,5
37.7765348694583,-122.41918314277768,-44.97861881324567,4
37.77406105122813,-122.41690580523766,-47.11488099561711,7
37.77608512008717,-122.41840438530487,-34.01582275404327,2
37.77407316461437,-122.41843536240646,-37.38253737458377,5
37.774068540492856,-122.41580244629603,-40.22233868364182,6
37.77548392454313,-122.41634916730203,-38.880125494720716,3
37.77117343951068,-122.416372980728,-44.50195618919351,1
37.771550164334975,-122.4153890423857,-30.216992081532695,1
37.773875424941515,-122.41795799231674,-39.48311527209909,1
37.77297433775933,-122.41663609405741,-39.56242082158043,7
37.77562849466519,-122.41862053351319,-37.09693350440523,2
37.77318395184896,-122.41735166729502,-38.075963073053146,4
37.772175392597326,-122.41826028610875,-39.104463902883474,5
37.77793129753784,-122.41780600807002,-43.161897821781245,3
37.77454844739903,-122.41680968594913,-38.11412657145602,6
37.775135056409376,-122.41963644136648,-32.47190201409987,3
37.77215050362757,-122.41381522544863,-34.61831981538009,6
37.77391123455095,-122.420012034763,-33.62725349344241,7
37.775221845179416,-122.42042837722558,-42.04486270572474,2
37.772698012845154,-122.41568377825301,-43.958419281034324,1
37.77575139603669,-122.41641667461208,-40.50314768039859,2
37.773798722620164,-122.4167517603659,-39.777100350845224,7
37.77441661250041,-122.41674330898148,-35.62323392611621,4
37.77379658677554,-122.4180244935457,-46.76985851885928,4
37.778704556369014,-122.41979450874298,-33.88179872215755,7
37.77497300555052,-122.41784839088362,-40.632031594315954,6
37.77288457814209,-122.41935432342304,-41.70752427978968,5
37.77664508982421,-122.41604976053317,-44.04841750104067,5
37.772558312700056,-122.41829411476301,-46.619426687463076,6
37.77541772719001,-122.41965099439359,-36.70731766415234,4
37.771080659752236,-122.41864277168331,-39.706728131246386,4
37.7723436279022,-122.41717413709145,-45.159843598964216,4
37.77539372247173,-122.41912744910562,-45.18031508825447,2
37.77647693315999,-122.41964444079115,-41.34313879716051,4
37.77534273656238,-122.41751262557702,-33.32391389884243,3
37.77476870343522,-122.41751006685779,-41.03836540545442,1
37.77439779260882,-122.41901388635075,-46.01257181247242,4
37.77204295601926,-122.41894207661124,-40.98297225634378,6
37.77356031158321,-122.41753590012529,-41.09089427899068,1
37.77407872245808,-122.420896168683,-50.787546571766285,2
37.777114244452434,-122.42081492754876,-40.21717946607125,6
37.77568723657914,-122.4194368884425,-40.92373812083471,1
37.77147391968927,-122.41842689430344,-37.215174540746325,6
37.77564816793879,-122.41737818486881,-32.60417562021862,2
37.774229835439165,-122.4150492875661,-35.49373988180897,3
37.77364615599939,-122.4162846807536,-41.07555476221932,2
37.77622335257768,-122.41831987705993,-44.42610363496668,2
37.77706199904499,-122.41803803241581,-29.70656078700056,6
37.77686256023823,-122.42000505872929,-39.76312626394205,7
37.773321564953555,-122.41803702627199,-39.944282832348215,5
37.7743815752483,-122.41857731727785,-40.09650034844001,4
37.7756625268628,-122.41735456287932,-39.20766095692858,4
37.776951090254244,-122.4196544618871,-40.57744164769577,3
37.77404165152431,-122.41696130697153,-42.29464802752094,3
37.77462868204667,-122.41493452217401,-42.18743576496157,4
37.77278733005198,-122.41821752029692,-40.131013080863994,5
37.77260758675184,-122.41719657655581,-42.17369908453506,4
37.776625051644785,-122.41661971201658,-42.851383130708655,7
37.77771248005714,-122.41880244094378,-39.57427908923241,5
37.774855979756836,-122.41755181503639,-41.01990886968342,3
37.777007065795786,-122.41797481519845,-33.98402804566925,1
37.775723272050094,-122.41780464780291,-50.603879233572044,6
37.77370976049079,-122.41954601956772,-35.63397259231015,7
37.77572279121102,-122.4179509796515,-35.01565923000948,7
37.77807607313293,-122.41700400341752,-48.2935609296326,3
37.77492834792178,-122.41509771278442,-41.370750376321396,3
37.77812928731163,-122.41608145834783,-41.48576346398317,2
37.769760509791816,-122.41369363508498,-45.63004677887128,7
37.776643805008746,-122.41953469512578,-43.1112667503635,2
37.775174094136474,-122.41625535872656,-44.44230338186331,2
37.774401985299065,-122.41763331598852,-32.99091822630551,6
37.77518352155307,-122.41362039413357,-36.25728642741016,2
37.7710248621708,-122.41961659657072,-34.91377962002336,5
